ID,County,2000Population,CountySeat,StateAbbreviation,StateName
1,Anchorage Borough,260283,Anchorage ,AK,
2,North Slope Borough,7385,Barrow ,AK,
3,Fairbanks North Star Borough,82840,Fairbanks ,AK,
4,Haines Borough,2392,Haines ,AK,
5,Denali Borough,1893,Healy ,AK,
6,City & Borough of Juneau,30711,Juneau ,AK,
7,Ketchikan Gateway Borough,14070,Ketchikan ,AK,
8,Lake And Peninsula Borough,1823,King Salmon ,AK,
9,Kodiak Island Borough,13913,Kodiak ,AK,
10,Northwest Arctic Borough,7208,Kotzebue ,AK,
11,Bristol Bay Borough,1258,Naknek ,AK,
12,Matanuska-Susitna Borough,59322,Palmer ,AK,
13,Aleutians East Borough,2697,Sand Point ,AK,
14,City & Borough of Sitka,8835,Sitka ,AK,
15,Kenai Peninsula Borough,49691,Soldotna ,AK,
16,City & Borough of Yakutat,808,Yakutat ,AK
17,Aleutians West,5465,,AK
18,Bethel,16006,,AK
19,Dillingham,4922,,AK
20,Nome,9196,,AK
21,Prince of Wales-Outer Ketchikan,6146,,AK
22,Skagway-Hoonah-Angoon.,3436,,AK
23,Southeast Fairbanks,6174,,AK
24,Valdez-Cordova,10195,,AK
25,Wade Hampton,7028,,AK
26,Wrangell-Petersburg,6684,,AK
27,Yukon-Koyukuk,6551,,AK
28,Henry County,16310,Abbeville ,AL
29,Covington County,37631,Andalusia ,AL
30,Calhoun County,112249,Anniston ,AL
31,Clay County,14254,Ashland ,AL
32,St. Clair County,64742,Ashville ,AL
33,Limestone County,65676,Athens ,AL
34,Baldwin County,140415,Bay Minette ,AL
35,Jefferson County,662047,Birmingham ,AL
36,Escambia County,38440,Brewton ,AL
37,Choctaw County,15922,Butler ,AL
38,Wilcox County,13183,Camden ,AL
39,Pickens County,20949,Carrollton ,AL
40,Cherokee County,23988,Centre ,AL
41,Bibb County,20826,Centreville ,AL
42,Washington County,18097,Chatom ,AL
43,Chilton County,39593,Clanton ,AL
44,Barbour County,29038,Clayton ,AL
45,Shelby County,143293,Columbiana ,AL
46,Cullman County,77483,Cullman ,AL
47,Tallapoosa County,41475,Dadeville ,AL
48,Morgan County,111064,Decatur ,AL
49,Houston County,88787,Dothan ,AL
50,Winston County,24843,Double Springs ,AL
51,Coffee County,43615,Elba ,AL
52,Greene County,9974,Eutaw ,AL
53,Conecuh County,14089,Evergreen ,AL
54,Fayette County,18495,Fayette ,AL
55,Lauderdale County,87966,Florence ,AL
56,DeKalb County,64452,Fort Payne ,AL
57,Etowah County,103459,Gadsden ,AL
58,Geneva County,25764,Geneva ,AL
59,Hale County,17185,Greensboro ,AL
60,Butler County,21399,Greenville ,AL
61,Clarke County,27867,Grove Hill ,AL
62,Marshall County,82231,Guntersville ,AL
63,Marion County,31214,Hamilton ,AL
64,Lowndes County,13473,Hayneville ,AL
65,Cleburne County,14123,Heflin ,AL
66,Madison County,276700,Huntsville ,AL
67,Walker County,70713,Jasper ,AL
68,Chambers County,36583,LaFayette ,AL
69,Marengo County,22539,Linden ,AL
70,Sumter County,14798,Livingston ,AL
71,Crenshaw County,13665,Luverne ,AL
72,Perry County,11861,Marion ,AL
73,Mobile County,399843,Mobile ,AL
74,Monroe County,24324,Monroeville ,AL
75,Montgomery County,223510,Montgomery ,AL
76,Lawrence County,34803,Moulton ,AL
77,Blount County,51024,Oneonta ,AL
78,Lee County,115092,Opelika ,AL
79,Dale County,49129,Ozark ,AL
80,Russell County,49756,Phenix City ,AL
81,Autauga County,43671,Prattville ,AL
82,Coosa County,12202,Rockford ,AL
83,Franklin County,31223,Russellville ,AL
84,Jackson County,53926,Scottsboro ,AL
85,Dallas County,46365,Selma ,AL
86,Talladega County,80321,Talladega ,AL
87,Pike County,29605,Troy ,AL
88,Tuscaloosa County,164875,Tuscaloosa ,AL
89,Colbert County,54984,Tuscumbia ,AL
90,Macon County,24105,Tuskegee ,AL
91,Bullock County,11714,Union Springs ,AL
92,Lamar County,15904,Vernon ,AL
93,Randolph County,22380,Wedowee ,AL
94,Elmore County,65874,Wetumpka ,AL
95,Clark County,23546,Arkadelphia ,AR
96,Desha County,15341,Arkansas City ,AR
97,Sharp County,17119,Ash Flat ,AR
98,Little River County,13628,Ashdown ,AR
99,Woodruff County,8741,Augusta ,AR
100,Independence County,34233,Batesville ,AR
101,Saline County,83529,Benton ,AR
102,Benton County,153406,Bentonville ,AR
103,Carroll County,25357,Berryville ,AR
104,Mississippi County,51979,Blytheville ,AR
105,Ouachita County,28790,Camden ,AR
106,Monroe County,10254,Clarendon ,AR
107,Johnson County,22781,Clarksville ,AR
108,Van Buren County,16192,Clinton ,AR
109,Faulkner County,86014,Conway ,AR
110,Yell County,21139,Danville ,AR
111,Sevier County,15757,De Queen ,AR
112,Prairie County,9539,Des Arc ,AR
